Genus,Species,Analogue,SitePair,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V7,Extreme,40.731159,A-CS-V7,31.425,688.890667,37829.7,2.0446,54.0380891,11.5102041,18.930,1198.6,,10,A-CS-V7
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V8,Extreme,40.731159,A-CS-V8,35.645,794.738333,39474.8,2.228,60.6769572,,15.951,1392.4,,10.9,A-CS-V8
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V1,Extreme,40.731159,P-CS-V1,43.254,555.301,37898,2.8742,50.361762,10.4455782312925,14.1886,1016.494,19.2284047,10.1,P-CS-V1
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V2,Extreme,40.731159,P-CS-V2,41.808,602.299,38464.9,2.8745,49.62061,11.7244898,16.507,1159.418,19.4560333,9.6,P-CS-V2
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V3,Extreme,40.731159,P-CS-V3,31.649,570.584,36464.6,2.4609,45.396076,11.0578231,12.9996,1044.802,19.2067011,7.6,P-CS-V3
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V4,Extreme,40.731159,P-CS-V4,28.355,470.675,32577.6,2.598,54.3582509,11.9761904761905,11.701,882.008,24.1958416,7,P-CS-V4
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V5,Extreme,40.731159,P-CS-V5,29.656,460.646,38567.1,2.5982,49.5126861,12.2687074829932,10.145,944.055,18.5188258,7.1,P-CS-V5
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V6,Extreme,40.731159,P-CS-V6,26.519,357.817333,37723,2.04395,47.1238943,11.4761905,11.560,864.8,,5.8,P-CS-V6
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V7,Extreme,40.731159,P-CS-V7,26.612,480.33,39853,2.414,52.146475,12.2789116,12.2282,943.579,21.1478593,6.8,P-CS-V7
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V8,Extreme,40.731159,P-CS-V8,25.538,383.537,35470,1.63781,43.8994426,,10.195,872.8,,6.7,P-CS-V8
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C1,Reference,40.718,A-R-C1,49.316,935.572,24063,2.3853,34.02745,10.5510204081633,19.827,1427.098,37.4535171,15.7,A-R-C1
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C2,Reference,40.718,A-R-C2,52.807,673.399667,37207.5,2.3853,36.2711447,,21.8732,1210.455,30.0883028,16.1,A-R-C2
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C3,Reference,40.718,A-R-C3,65.424,890.709,36390.3,2.3853,41.12278,,23.4814,1416.124,34.1217361,19.6,A-R-C3
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C4,Reference,40.718,A-R-C4,51.1,827.523333,22670.5,2.3853,36.0975396,,20.534,1269.911,37.4101842,16.1,A-R-C4
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C5,Reference,40.718,A-R-C5,52.575,711.306,39160.5,2.31664,44.3319222,,21.0682,1305.488,37.2455472,16.2,A-R-C5
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C6,Reference,40.718,A-R-C6,49.236,793.891,37530.8,2.3854,37.3885268,11.5102040816327,22.9652,1343.159,30.2471336,16.8,A-R-C6
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C7,Reference,40.718,A-R-C7,41.027,665.890667,35973.7,2.18038,34.0777706,,21.2522,1320,,12.7,A-R-C7
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C8,Reference,40.718,A-R-C8,49.401,712.045,37462.2,2.1351,50.9787,9.79931972789116,20.6058,1323.2,,14.7,A-R-C8
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C1,Reference,40.718,P-R-C1,77.868,762.94,36742.6,3.1762,39.88246,,18.8904,1244.572,19.8529258,15.5,P-R-C1
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C2,Reference,40.718,P-R-C2,74.522,694.612,37098.7,3.1761,45.67878,,19.001,1381.574,15.2539939,14.5,P-R-C2
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C3,Reference,40.718,P-R-C3,69.364,771.587,39381.9,3.1763,35.95531,,18.3736,1239.8,,14.3,P-R-C3
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C4,Reference,40.718,P-R-C4,70.063,807.966,34981.4,3.1767,39.879,,21.8738,1529.758,17.6988997,15.1,P-R-C4
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C5,Reference,40.718,P-R-C5,74.564,703.156,36489.8,2.7024,35.95284,,20.8572,1210.328,18.5871434,15.7,P-R-C5
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C6,Reference,40.718,P-R-C6,67.942,710.519,34187.1,2.7027,40.6217512,11.7585034,19.088,1261.799,14.3394932,14.6,P-R-C6
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C7,Reference,40.718,P-R-C7,62.779,651.811,35454,2.555,37.1096215,10.1496599,20.91,1139.534,16.2825426,12.0,P-R-C7
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C8,Reference,40.718,P-R-C8,52.652,614.943,37944.2,2.555,43.5034723,10.3095238,19.382,1183,,11.3,P-R-C8
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V1,Extreme,40.718,A-R-V1,54.594,846.961,35622.2,2.3853,40.1137,10.9625850340136,22.3088,1440.6,,17.1,A-R-V1
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V2,Extreme,40.718,A-R-V2,53.354,908.134,37426.4,2.3853,45.28221,10.7517006802721,20.9206,1389.083,40.1691949,16.9,A-R-V2
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V3,Extreme,40.718,A-R-V3,57.232,874.515,38683.8,2.3853,48.79202,9.19047619047619,19.755,1372.294,34.4362398,16.7,A-R-V3
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V4,Extreme,40.718,A-R-V4,54.09,716.506,39047.3,2.3853,45.3022,,20.3592,1339.4,,18.3,A-R-V4
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V5,Extreme,40.718,A-R-V5,49.42,762.566,38689.1,2.1351,52.8985429,,22.4536,1531.678,37.1368222,15.1,A-R-V5
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V6,Extreme,40.718,A-R-V6,60.655,822.808,37644.2,2.8428,46.5016416,,21.3372,1301.579,37.5707536,18.7,A-R-V6
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V7,Extreme,40.718,A-R-V7,51.72,713.651333,39034.9,2.24558,47.9520798,,23.226,1331.736,39.0590683,15.5,A-R-V7
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V8,Extreme,40.718,A-R-V8,48.619,891.232667,39016.8,2.24558,47.1468577,,19.8092,1299.599,37.571675,17.4,A-R-V8
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V1,Extreme,40.718,P-R-V1,71.592,752.999667,36769.4,2.55440,31.6732454,11.047619047619,19.2424,1284.571,14.0896093,14.8,P-R-V1
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V2,Extreme,40.718,P-R-V2,69.248,696.202,40182.3,3.1763,51.572586,,19.84,1226.807,15.5276923,13.7,P-R-V2
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V3,Extreme,40.718,P-R-V3,59.518,467.12,38128.8,2.3854,40.263378,13.6258503401361,19.06,940,,12.3,P-R-V3
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V4,Extreme,40.718,P-R-V4,80.006,788.503,38205,3.1768,46.363895,,20.270,1335.99,18.6401532,15.2,P-R-V4
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V5,Extreme,40.718,P-R-V5,69.144,715.279,33991.8,3.1770,42.29062,11.4455782312925,18.9204,1204.2,,14.1,P-R-V5
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V6,Extreme,40.718,P-R-V6,53.487,521.501,37758,2.8428,46.896602,,19.306,1079.216,14.3639313,10.6,P-R-V6
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V7,Extreme,40.718,P-R-V7,35.557,499.805,38531,2.3854,40.0881581,,15.4496,935.148,16.6026387,8.7,P-R-V7
