Genus,Species,Analogue,Site,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V7,Extreme,40.73187,P-CN-V7,30.497,570.77,38411.2,2.4140,46.969374,13.2142857,12.041,1.077,1076.692,19.7404017,8.4,P-CN-V7
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V8,Extreme,40.73187,P-CN-V8,31.751,487.613667,38496.1,2.0038,46.3555918,11.1258503,12.484,0.875,875,,8,P-CN-V8
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C1,Reference,40.731159,A-CS-C1,52.919,993.52,40876,2.8736,47.36915,10.030612244898,22.154,1.342,1342.024,36.801356,15.8,A-CS-C1
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C2,Reference,40.731159,A-CS-C2,54.495,1052.233,37203.1,3.2146,31.3344138,11.3945578231293,21.721,1.453,1453.486,33.6224101,16.4,A-CS-C2
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C3,Reference,40.731159,A-CS-C3,45.579,890.587333,37062.2,3.2145,38.817573,10.9251700680272,22.401,1.394,1394.243,29.7138224,15.9,A-CS-C3
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C4,Reference,40.731159,A-CS-C4,48.416,947.725,41844.7,2.8227,33.7544273,,23.883,1.503,1503.308,34.4944177,16.8,A-CS-C4
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C5,Reference,40.731159,A-CS-C5,44.5,880.589,40872.1,2.4609,32.26447,,22.1,1.425,1424.735,31.5264219,14.8,A-CS-C5
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C6,Reference,40.731159,A-CS-C6,40.943,745.632,39369,2.4609,35.0692903,,20.951,1.23,1229.704,30.3497171,12.8,A-CS-C6
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C7,Reference,40.731159,A-CS-C7,41.995,788.017,39641.6,2.223,40.0165077,,18.5314,1.29,1289.8,,14.2,A-CS-C7
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C8,Reference,40.731159,A-CS-C8,50.075,959.924,42589.6,2.44897,40.0787725,,21.909,1.398,1397.8,,16.4,A-CS-C8
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C1,Reference,40.731159,P-CS-C1,49.362,653.561,36075.9,2.8736,41.0338963,11.6326530612245,18.103,1.128,1127.994,18.1831425,10.5,P-CS-C1
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C2,Reference,40.731159,P-CS-C2,51.09,758.133,34621.4,2.8736,32.7363243,12.3503401360544,16.740,1.297,1296.569,17.5984166,11.3,P-CS-C2
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C3,Reference,40.731159,P-CS-C3,53.859,808.505,35053.5,3.5898,44.24019,12.1700680272109,18.356,1.281,1281.44,19.5281041,10.5,P-CS-C3
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C4,Reference,40.731159,P-CS-C4,48.219,681.454,33616.6,3.2145,32.19643,,22.164,1.334,1333.62,17.6462947,9.7,P-CS-C4
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C5,Reference,40.731159,P-CS-C5,48.263,739.68,35797.4,3.2146,35.93465,,17.722,1.175,1174.609,15.9465536,10.8,P-CS-C5
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C6,Reference,40.731159,P-CS-C6,53.361,721.997,36445.8,3.0459,42.15687,,17.673,1.216,1216.185,17.4863227,11.4,P-CS-C6
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C7,Reference,40.731159,P-CS-C7,48.045,613.766,37613.5,2.71782,32.1114522,,19.4042,1.151,1150.8,,10.3,P-CS-C7
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-C8,Reference,40.731159,P-CS-C8,52.699,627.881333,38947.3,2.44874,30.6199195,,18.1756,1.186,1186.4,,10.6,P-CS-C8
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V1,Extreme,40.731159,A-CS-V1,39.239,837.012,37236.8,2.5984,47.982752,13.4625850340136,20.100,1.356,1356.137,36.9357985,11.7,A-CS-V1
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V2,Extreme,40.731159,A-CS-V2,47.249,710.556,37081,2.8741,43.06299,11.1326530612245,25.508,1.468,1468.024,40.5383179,14.5,A-CS-V2
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V3,Extreme,40.731159,A-CS-V3,47.161,762.072,38220,2.8741,50.32005,9.63265306,19.367,1.304,1303.844,34.650242,15.6,A-CS-V3
